Unnamed: 0,Airline,Source,Destination,codeshare,transfers,planes,source_lat,dest_lat,source_lon,dest_lon,Source Airport Name,Destination Airport Name,Trace_name
60247,W2,DXB,KDH,True,0,['320'],25.248665,31.506945,55.352917,65.8475,Dubai Airport (DXB),Kandahar Airport (KDH),From DXB to KDH
60249,W2,DYU,KBL,True,0,['M83'],38.54894,34.56069,68.81728,69.21152,Dushanbe Airport (DYU),Kabul International Airport (KBL),From DYU to KBL
60270,W2,KBL,DEL,True,0,['762'],34.56069,28.556555,69.21152,77.10079,Kabul International Airport (KBL),Indira Gandhi International Airport (DEL),From KBL to DEL
60271,W2,KBL,DME,True,0,['320'],34.56069,55.414566,69.21152,37.899494,Kabul International Airport (KBL),Moscow Domodedovo Airport (DME),From KBL to DME
60272,W2,KBL,DXB,True,0,['320'],34.56069,25.248665,69.21152,55.352917,Kabul International Airport (KBL),Dubai Airport (DXB),From KBL to DXB
60273,W2,KBL,DYU,True,0,['M83'],34.56069,38.54894,69.21152,68.81728,Kabul International Airport (KBL),Dushanbe Airport (DYU),From KBL to DYU
60274,W2,KBL,KDH,True,0,"['762', '320']",34.56069,31.506945,69.21152,65.8475,Kabul International Airport (KBL),Kandahar Airport (KDH),From KBL to KDH
60275,W2,KDH,DEL,True,0,['762'],31.506945,28.556555,65.8475,77.10079,Kandahar Airport (KDH),Indira Gandhi International Airport (DEL),From KDH to DEL
60276,W2,KDH,DXB,True,0,['320'],31.506945,25.248665,65.8475,55.352917,Kandahar Airport (KDH),Dubai Airport (DXB),From KDH to DXB
60277,W2,KDH,KBL,True,0,"['762', '320']",31.506945,34.56069,65.8475,69.21152,Kandahar Airport (KDH),Kabul International Airport (KBL),From KDH to KBL
